emitted_at_utc,line_number,line_id,vehicle_id,longitude,latitude,speed_kmh,direction,source,live_observed_at_utc,live_age_s
2026-09-08T12:12:02Z,103,5200103000,70자1406,129.0162688,35.1128192,,2,live,2026-09-08T12:12:02Z,0.1
2026-09-08T12:12:12Z,103,5200103000,70자1406,129.0170624,35.1114304,,2,live,2026-09-08T12:12:12Z,0.3
2026-09-08T12:12:12Z,1001,5201001000,71자2617,128.9998976,35.1029824,,2,live,2026-09-08T12:12:12Z,0.2
2026-09-08T12:12:12Z,33,5200033000,70자5204,129.0666368,35.1749088,,2,live,2026-09-08T12:12:12Z,0.3
2026-09-08T12:12:23Z,126,5200126000,70자2601,129.0165888,35.2396704,,2,live,2026-09-08T12:12:22Z,0.3
2026-09-08T12:12:23Z,1001,5201001000,71자2617,129.0005888,35.1032192,,2,live,2026-09-08T12:12:22Z,0.5
2026-09-08T12:12:33Z,1001,5201001000,71자2617,129.0014464,35.1033504,,2,live,2026-09-08T12:12:32Z,0.6
2026-09-08T12:12:38Z,103,5200103000,70자1406,129.0175360,35.1103776,,2,live,2026-09-08T12:12:37Z,0.7
2026-09-08T12:12:38Z,131,5200131000,70자5416,129.0615040,35.1959616,,2,live,2026-09-08T12:12:37Z,0.6
2026-09-08T12:12:43Z,1001,5201001000,71자2617,129.0023296,35.1034272,,2,live,2026-09-08T12:12:42Z,0.6
2026-09-08T12:12:48Z,126,5200126000,70자2601,129.0170240,35.2398784,,2,live,2026-09-08T12:12:47Z,0.5
2026-09-08T12:12:48Z,33,5200033000,70자5204,129.0643200,35.1749888,,2,live,2026-09-08T12:12:47Z,0.8
2026-09-08T12:13:12Z,131,5200131000,70자5416,129.0606848,35.1972224,,2,live,2026-09-08T12:13:12Z,0.0
2026-09-08T12:13:18Z,33,5200033000,70자5204,129.0619776,35.1746816,,2,live,2026-09-08T12:13:18Z,0.1
2026-09-08T12:13:28Z,111-1,5200111100,70자1007,129.0637952,35.1902336,,4,live,2026-09-08T12:13:27Z,0.3
2026-09-08T12:13:38Z,131,5200131000,70자5416,129.0614144,35.1979552,,2,live,2026-09-08T12:13:38Z,0.4
2026-09-08T12:14:08Z,111-1,5200111100,70자1007,129.0627840,35.1897312,,5,live,2026-09-08T12:14:08Z,0.2
2026-09-08T12:14:13Z,126,5200126000,70자2601,129.0194432,35.2413888,,2,live,2026-09-08T12:14:13Z,0.1
2026-09-08T12:14:18Z,103,5200103000,70자1406,129.0180096,35.1097056,,2,live,2026-09-08T12:14:18Z,0.3
2026-09-08T12:14:23Z,33,5200033000,70자5204,129.0615296,35.1744832,,2,live,2026-09-08T12:14:23Z,0.3
2026-09-08T12:14:28Z,131,5200131000,70자5416,129.0646784,35.2005856,,2,live,2026-09-08T12:14:28Z,0.2
2026-09-08T12:14:44Z,33,5200033000,70자5204,129.0600704,35.1727648,,2,live,2026-09-08T12:14:43Z,0.7
2026-09-08T12:14:54Z,33,5200033000,70자5204,129.0591232,35.1718400,,2,live,2026-09-08T12:14:53Z,1.0
2026-09-08T12:14:59Z,131,5200131000,70자5416,129.0652928,35.2012608,,2,live,2026-09-08T12:14:58Z,0.9
2026-09-08T12:15:03Z,126,5200126000,70자2601,129.0217088,35.2414624,,2,live,2026-09-08T12:15:03Z,0.1
2026-09-08T12:15:03Z,103,5200103000,70자1406,129.0198656,35.1079456,,2,live,2026-09-08T12:15:03Z,0.1
2026-09-08T12:15:23Z,131,5200131000,70자5416,129.0669824,35.2037728,,2,live,2026-09-08T12:15:23Z,0.1
2026-09-08T12:15:34Z,126,5200126000,70자2601,129.0223104,35.2414816,,2,live,2026-09-08T12:15:33Z,0.4
2026-09-08T12:15:34Z,33,5200033000,70자5204,129.0568960,35.1711296,,2,live,2026-09-08T12:15:33Z,0.7
2026-09-08T12:15:53Z,33,5200033000,70자5204,129.0556928,35.1709184,,2,live,2026-09-08T12:15:53Z,0.1
2026-09-08T12:15:58Z,1001,5201001000,71자2617,129.0150784,35.1093184,,2,live,2026-09-08T12:15:58Z,0.1
2026-09-08T12:15:58Z,111-1,5200111100,70자1007,129.0608384,35.1887552,,6,live,2026-09-08T12:15:58Z,0.3
2026-09-08T12:16:03Z,1001,5201001000,71자2617,129.0156160,35.1092000,,2,live,2026-09-08T12:16:03Z,0.2
2026-09-08T12:16:03Z,33,5200033000,70자5204,129.0553856,35.1709824,,2,live,2026-09-08T12:16:03Z,0.2
2026-09-08T12:16:08Z,111-1,5200111100,70자1007,129.0603648,35.1885344,,7,live,2026-09-08T12:16:08Z,0.4
2026-09-08T12:16:09Z,131,5200131000,70자5416,129.0677376,35.2051648,,2,live,2026-09-08T12:16:09Z,0.9
2026-09-08T12:16:14Z,1001,5201001000,71자2617,129.0161152,35.1093600,,2,live,2026-09-08T12:16:13Z,0.3
2026-09-08T12:16:29Z,111-1,5200111100,70자1007,129.0593664,35.1883168,,8,live,2026-09-08T12:16:28Z,0.8
2026-09-08T12:16:49Z,103,5200103000,70자1406,129.0204032,35.1075904,,2,live,2026-09-08T12:16:48Z,0.8
2026-09-08T12:16:49Z,1001,5201001000,71자2617,129.0174464,35.1097760,,2,live,2026-09-08T12:16:48Z,0.8
2026-09-08T12:17:04Z,111-1,5200111100,70자1007,129.0578944,35.1881376,,9,live,2026-09-08T12:17:03Z,0.2
2026-09-08T12:17:04Z,33,5200033000,70자5204,129.0550784,35.1734496,,2,live,2026-09-08T12:17:03Z,0.1
2026-09-08T12:17:05Z,126,5200126000,70자2601,129.0215424,35.2440192,,2,live,2026-09-08T12:17:04Z,0.9
2026-09-08T12:17:09Z,131,5200131000,70자5416,129.0679168,35.2054400,,2,live,2026-09-08T12:17:09Z,0.0
2026-09-08T12:17:14Z,126,5200126000,70자2601,129.0210688,35.2440576,,2,live,2026-09-08T12:17:14Z,0.2
2026-09-08T12:17:14Z,103,5200103000,70자1406,129.0218240,35.1075424,,2,live,2026-09-08T12:17:14Z,0.3
2026-09-08T12:17:14Z,111-1,5200111100,70자1007,129.0573824,35.1880608,,9,live,2026-09-08T12:17:13Z,0.4
2026-09-08T12:17:19Z,103,5200103000,70자1406,129.0222336,35.1074304,,2,live,2026-09-08T12:17:19Z,0.2
2026-09-08T12:17:24Z,33,5200033000,70자5204,129.0549760,35.1742176,,2,live,2026-09-08T12:17:24Z,0.5
2026-09-08T12:17:29Z,126,5200126000,70자2601,129.0199168,35.2439008,,2,live,2026-09-08T12:17:29Z,0.3
2026-09-08T12:17:29Z,131,5200131000,70자5416,129.0688512,35.2066464,,2,live,2026-09-08T12:17:29Z,0.1
2026-09-08T12:17:34Z,103,5200103000,70자1406,129.0236032,35.1058304,,2,live,2026-09-08T12:17:34Z,0.6
2026-09-08T12:17:44Z,131,5200131000,70자5416,129.0698368,35.2075360,,2,live,2026-09-08T12:17:44Z,0.5
2026-09-08T12:18:00Z,131,5200131000,70자5416,129.0714368,35.2071008,,2,live,2026-09-08T12:17:59Z,0.8
2026-09-08T12:18:05Z,131,5200131000,70자5416,129.0720384,35.2068640,,2,live,2026-09-08T12:18:04Z,0.9
2026-09-08T12:18:29Z,1001,5201001000,71자2617,129.0213760,35.1112064,,2,live,2026-09-08T12:18:29Z,0.4
2026-09-08T12:18:35Z,103,5200103000,70자1406,129.0246400,35.1045920,,2,live,2026-09-08T12:18:34Z,0.5
2026-09-08T12:18:35Z,1001,5201001000,71자2617,129.0216192,35.1112896,,2,live,2026-09-08T12:18:34Z,0.5
2026-09-08T12:18:40Z,103,5200103000,70자1406,129.0248832,35.1039680,,2,live,2026-09-08T12:18:39Z,0.5
2026-09-08T12:18:40Z,1001,5201001000,71자2617,129.0224896,35.1115680,,2,live,2026-09-08T12:18:39Z,0.5
2026-09-08T12:18:45Z,103,5200103000,70자1406,129.0250880,35.1034816,,2,live,2026-09-08T12:18:44Z,0.5
2026-09-08T12:18:45Z,131,5200131000,70자5416,129.0726784,35.2074176,,2,live,2026-09-08T12:18:44Z,0.4
2026-09-08T12:18:45Z,33,5200033000,70자5204,129.0548224,35.1758240,,2,live,2026-09-08T12:18:44Z,0.6
2026-09-08T12:18:50Z,126,5200126000,70자2601,129.0159488,35.2420928,,2,live,2026-09-08T12:18:49Z,0.8
2026-09-08T12:18:50Z,131,5200131000,70자5416,129.0728448,35.2079936,,2,live,2026-09-08T12:18:49Z,0.7
2026-09-08T12:19:00Z,103,5200103000,70자1406,129.0251520,35.1025024,,2,live,2026-09-08T12:18:59Z,0.7
2026-09-08T12:19:14Z,126,5200126000,70자2601,129.0154112,35.2418848,,2,live,2026-09-08T12:19:14Z,0.2
2026-09-08T12:19:14Z,1001,5201001000,71자2617,129.0245248,35.1121664,,2,live,2026-09-08T12:19:14Z,0.2
2026-09-08T12:19:20Z,131,5200131000,70자5416,129.0730880,35.2087072,,2,live,2026-09-08T12:19:19Z,0.2
2026-09-08T12:19:30Z,126,5200126000,70자2601,129.0143616,35.2416928,,2,live,2026-09-08T12:19:29Z,0.5
2026-09-08T12:20:10Z,33,5200033000,70자5204,129.0538752,35.1778528,,2,live,2026-09-08T12:20:10Z,0.2
2026-09-08T12:20:15Z,103,5200103000,70자1406,129.0250112,35.0997088,,2,live,2026-09-08T12:20:15Z,0.2
2026-09-08T12:20:15Z,131,5200131000,70자5416,129.0732928,35.2098592,,2,live,2026-09-08T12:20:15Z,0.0
2026-09-08T12:20:21Z,131,5200131000,70자5416,129.0734720,35.2103264,,2,live,2026-09-08T12:20:20Z,0.9
2026-09-08T12:20:25Z,1001,5201001000,71자2617,129.0349568,35.1119776,,2,live,2026-09-08T12:20:25Z,0.3
2026-09-08T12:20:30Z,103,5200103000,70자1406,129.0249984,35.0986592,,2,live,2026-09-08T12:20:30Z,0.5
2026-09-08T12:20:30Z,1001,5201001000,71자2617,129.0354304,35.1119616,,2,live,2026-09-08T12:20:30Z,0.5
2026-09-08T12:20:40Z,33,5200033000,70자5204,129.0520832,35.1798368,,2,live,2026-09-08T12:20:40Z,0.7
2026-09-08T12:20:45Z,33,5200033000,70자5204,129.0517120,35.1801568,,2,live,2026-09-08T12:20:45Z,0.7
2026-09-08T12:20:56Z,131,5200131000,70자5416,129.0732544,35.2111616,,2,live,2026-09-08T12:20:55Z,0.8
2026-09-08T12:21:15Z,126,5200126000,70자2601,129.0133376,35.2439424,,2,live,2026-09-08T12:21:15Z,0.1
